Episode_Length_minutes,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment
83.45,53.46,Thursday,Evening,2.38,2.0,Negative
92.56,22.17,Friday,Afternoon,19.68,2.0,Positive
74.76,35.33,Thursday,Morning,15.19,2.0,Neutral
,70.83,Wednesday,Night,17.33,3.0,Positive
108.23,70.21,Friday,Night,,3.0,Negative
106.59,84.61,Monday,Morning,,0.0,Neutral
52.27,78.94,Monday,Evening,,0.0,Neutral
,57.07,Sunday,Morning,,3.0,Positive
32.41,96.24,Sunday,Morning,72.09,1.0,Positive
108.74,48.9,Monday,Afternoon,8.94,1.0,Positive
31.42,23.11,Thursday,Evening,87.54,0.0,Negative
82.6,47.99,Saturday,Afternoon,14.8,3.0,Neutral
,78.67,Wednesday,Evening,7.53,2.0,Negative
80.16,89.62,Friday,Afternoon,,1.0,Negative
39.4,27.46,Tuesday,Night,,3.0,Negative
75.78,21.71,Friday,Afternoon,47.32,3.0,Neutral
38.25,49.65,Wednesday,Night,26.52,0.0,Positive
63.13,72.01,Tuesday,Afternoon,75.87,2.0,Negative
112.4,99.17,Tuesday,Night,99.22,2.0,Positive
110.68,38.44,Tuesday,Evening,,3.0,Positive
,72.89,Monday,Evening,,2.0,Neutral
41.05,39.55,Saturday,Evening,36.9,1.0,Positive
66.15,60.14,Tuesday,Night,23.57,0.0,Positive
46.95,51.17,Monday,Evening,34.9,2.0,Neutral
101.47,52.08,Monday,Morning,45.22,2.0,Neutral
97.51,61.49,Saturday,Morning,39.32,1.0,Positive
107.4,75.92,Monday,Afternoon,40.24,0.0,Neutral
,87.73,Thursday,Evening,75.64,2.0,Negative
20.06,57.55,Saturday,Morning,63.12,2.0,Neutral
98.9,55.28,Tuesday,Night,,0.0,Neutral
109.36,96.36,Wednesday,Morning,,2.0,Positive
10.71,83.29,Monday,Afternoon,,1.0,Negative
66.6,55.78,Friday,Night,,2.0,Negative
39.53,93.02,Wednesday,Night,,3.0,Negative
113.7,98.99,Tuesday,Afternoon,20.48,1.0,Positive
64.81,97.7,Sunday,Afternoon,,3.0,Positive
73.31,34.23,Sunday,Morning,50.47,1.0,Negative
76.41,58.08,Wednesday,Afternoon,,2.0,Neutral
19.66,62.59,Monday,Afternoon,56.33,3.0,Negative
113.98,84.16,Tuesday,Night,58.49,1.0,Negative
109.36,36.01,Saturday,Morning,,1.0,Negative
34.24,51.88,Sunday,Evening,,1.0,Neutral
15.89,72.86,Monday,Afternoon,10.18,0.0,Positive
117.3,68.17,Friday,Morning,50.67,0.0,Positive
77.72,98.9,Monday,Evening,72.42,0.0,Neutral
47.81,53.04,Tuesday,Morning,84.57,0.0,Positive
116.71,42.25,Thursday,Evening,73.69,0.0,Negative
39.32,77.02,Sunday,Evening,99.45,3.0,Neutral
104.94,24.66,Tuesday,Evening,30.62,0.0,Positive
98.97,87.71,Tuesday,Morning,,2.0,Negative
62.07,99.31,Wednesday,Evening,,0.0,Negative
49.14,28.55,Saturday,Morning,65.25,2.0,Negative
12.71,91.9,Saturday,Afternoon,,3.0,Negative
110.99,97.4,Thursday,Evening,,2.0,Neutral
96.4,63.27,Monday,Morning,93.09,2.0,Neutral
43.77,74.04,Wednesday,Night,46.85,3.0,Negative
40.49,59.44,Sunday,Evening,,1.0,Positive
101.07,87.27,Thursday,Night,75.04,0.0,Negative
31.52,38.61,Sunday,Night,67.72,1.0,Positive
42.47,51.5,Thursday,Afternoon,,0.0,Neutral
49.44,83.98,Tuesday,Afternoon,,1.0,Neutral
109.35,49.31,Wednesday,Evening,87.34,0.0,Neutral
63.41,92.15,Thursday,Evening,97.35,3.0,Positive
24.28,25.74,Tuesday,Afternoon,22.78,3.0,Neutral
67.6,27.34,Monday,Night,2.76,3.0,Positive
82.94,53.21,Friday,Afternoon,53.7,0.0,Positive
,38.54,Monday,Night,51.46,0.0,Neutral
,97.57,Sunday,Afternoon,48.71,0.0,Positive
7.52,34.89,Thursday,Afternoon,16.3,3.0,Positive
54.62,47.37,Thursday,Morning,53.52,1.0,Positive
27.52,82.53,Saturday,Afternoon,99.92,0.0,Positive
55.63,44.05,Wednesday,Morning,89.35,3.0,Neutral
76.01,21.98,Friday,Night,21.18,0.0,Positive
32.44,53.58,Tuesday,Morning,5.36,2.0,Neutral
76.01,80.39,Tuesday,Night,63.73,0.0,Positive
83.93,46.8,Sunday,Night,52.75,0.0,Neutral
61.21,35.78,Wednesday,Night,31.18,0.0,Positive
103.98,80.03,Wednesday,Night,37.7,2.0,Positive
96.81,68.27,Sunday,Afternoon,73.59,0.0,Neutral
94.44,82.21,Friday,Night,70.27,2.0,Negative
115.92,82.18,Monday,Evening,93.19,2.0,Positive
82.69,98.31,Wednesday,Evening,67.47,0.0,Negative
116.12,49.11,Monday,Evening,70.9,1.0,Positive
32.79,32.54,Friday,Morning,90.9,3.0,Neutral
49.77,74.83,Monday,Morning,23.83,0.0,Negative
96.84,74.64,Thursday,Night,49.11,2.0,Positive
57.23,81.35,Saturday,Afternoon,22.05,0.0,Positive
,53.27,Monday,Afternoon,26.14,2.0,Negative
64.74,58.57,Friday,Afternoon,71.64,3.0,Negative
,86.94,Wednesday,Afternoon,24.39,3.0,Neutral
96.35,71.78,Monday,Night,73.85,0.0,Positive
97.11,52.22,Sunday,Night,22.9,2.0,Neutral
39.87,66.57,Monday,Afternoon,37.93,1.0,Positive
100.63,80.29,Wednesday,Morning,43.82,0.0,Positive
31.68,59.01,Friday,Evening,66.0,0.0,Neutral
75.2,65.99,Wednesday,Morning,15.81,0.0,Positive
24.02,39.93,Monday,Morning,87.6,0.0,Positive
27.3,44.69,Wednesday,Afternoon,67.93,2.0,Neutral
94.68,93.11,Sunday,Morning,4.63,1.0,Neutral
20.08,74.36,Tuesday,Night,,3.0,Positive
64.7,74.2,Wednesday,Afternoon,77.56,3.0,Negative
53.05,77.36,Friday,Afternoon,64.72,3.0,Neutral
92.8,67.37,Friday,Afternoon,,3.0,Negative
107.05,63.16,Tuesday,Evening,,3.0,Positive
15.81,27.81,Friday,Night,63.58,3.0,Negative
25.56,30.04,Friday,Night,85.36,1.0,Positive
25.77,74.11,Monday,Afternoon,88.87,3.0,Negative
33.73,58.67,Saturday,Evening,4.67,0.0,Neutral
,70.66,Thursday,Afternoon,26.58,1.0,Negative
89.92,42.17,Sunday,Morning,53.94,1.0,Neutral
51.53,79.76,Thursday,Evening,51.76,0.0,Positive
47.87,48.03,Thursday,Afternoon,96.46,1.0,Positive
67.57,23.03,Tuesday,Evening,,3.0,Negative
48.02,62.1,Friday,Morning,24.0,0.0,Positive
20.21,85.77,Wednesday,Evening,40.91,1.0,Negative
100.55,64.05,Thursday,Evening,9.7,3.0,Negative
38.6,22.72,Monday,Morning,9.96,2.0,Negative
25.36,52.1,Tuesday,Morning,7.62,0.0,Neutral
33.68,85.98,Wednesday,Morning,,3.0,Positive
78.94,41.46,Friday,Afternoon,66.33,1.0,Positive
48.67,51.57,Monday,Morning,64.28,0.0,Negative
96.27,27.72,Monday,Afternoon,66.28,2.0,Positive
65.8,69.83,Thursday,Evening,60.84,3.0,Neutral
111.94,96.15,Sunday,Morning,,1.0,Positive
36.73,84.08,Monday,Evening,28.74,2.0,Positive
52.64,55.46,Monday,Morning,52.38,3.0,Negative
78.61,47.87,Tuesday,Night,46.11,2.0,Negative
115.28,30.96,Tuesday,Afternoon,75.66,1.0,Positive
,74.44,Monday,Night,39.11,0.0,Neutral
51.15,31.95,Friday,Evening,98.24,0.0,Positive
44.42,34.31,Friday,Evening,30.37,2.0,Positive
101.51,60.92,Friday,Evening,60.05,0.0,Negative
96.28,86.59,Monday,Evening,26.52,1.0,Negative
25.06,80.18,Friday,Night,,1.0,Positive
68.12,82.6,Monday,Afternoon,,3.0,Negative
10.76,55.62,Monday,Morning,19.1,3.0,Negative
21.36,93.33,Tuesday,Evening,36.41,3.0,Positive
32.82,39.03,Thursday,Night,51.53,1.0,Positive
78.46,82.83,Friday,Evening,8.01,2.0,Neutral
91.61,44.15,Friday,Night,53.63,3.0,Positive
21.57,67.4,Wednesday,Afternoon,17.33,2.0,Neutral
44.59,29.53,Sunday,Night,50.18,0.0,Negative
89.97,42.48,Tuesday,Morning,94.92,1.0,Negative
92.34,69.56,Saturday,Night,30.38,3.0,Positive
83.99,75.87,Monday,Evening,10.09,3.0,Neutral
83.91,59.06,Saturday,Afternoon,29.2,0.0,Negative
40.27,47.97,Monday,Evening,83.95,2.0,Negative
20.7,78.55,Thursday,Night,24.64,1.0,Negative
111.01,40.86,Wednesday,Afternoon,82.41,1.0,Negative
68.6,94.12,Saturday,Night,95.45,1.0,Negative
29.7,92.52,Friday,Evening,41.75,3.0,Positive
73.89,62.51,Sunday,Afternoon,83.97,1.0,Positive
112.82,83.11,Tuesday,Afternoon,72.22,0.0,Positive
49.58,23.41,Tuesday,Morning,37.19,0.0,Neutral
88.55,86.11,Sunday,Night,1.55,2.0,Negative
8.09,96.35,Wednesday,Afternoon,58.8,1.0,Negative
61.96,82.71,Friday,Evening,91.7,0.0,Neutral
37.94,56.17,Sunday,Evening,27.72,0.0,Neutral
110.53,24.93,Tuesday,Morning,59.93,1.0,Negative
69.15,26.02,Thursday,Afternoon,45.62,2.0,Neutral
,24.07,Wednesday,Morning,80.28,3.0,Positive
96.89,53.37,Wednesday,Night,88.09,0.0,Positive
93.61,71.41,Sunday,Night,84.02,0.0,Neutral
14.04,51.85,Friday,Night,74.2,3.0,Negative
99.89,69.04,Tuesday,Night,63.37,0.0,Neutral
77.04,75.08,Monday,Night,,0.0,Negative
,45.39,Thursday,Evening,47.25,1.0,Negative
71.06,82.31,Friday,Evening,,3.0,Neutral
39.72,97.03,Tuesday,Morning,54.35,2.0,Positive
31.82,80.18,Thursday,Night,,1.0,Positive
38.4,62.29,Wednesday,Evening,48.25,1.0,Neutral
105.47,53.03,Wednesday,Morning,63.01,2.0,Negative
22.29,54.72,Thursday,Morning,4.9,0.0,Neutral
16.19,85.65,Wednesday,Afternoon,73.19,2.0,Neutral
112.58,96.68,Thursday,Afternoon,91.38,0.0,Negative
85.41,25.87,Sunday,Evening,92.71,1.0,Negative
47.6,33.46,Wednesday,Night,58.57,1.0,Positive
,40.01,Friday,Afternoon,68.49,0.0,Neutral
,25.29,Thursday,Afternoon,31.97,1.0,Positive
107.29,43.11,Friday,Morning,29.81,3.0,Neutral
56.22,42.59,Sunday,Morning,28.52,1.0,Neutral
46.36,23.38,Monday,Night,41.05,2.0,Negative
119.58,56.93,Friday,Night,57.27,2.0,Neutral
,42.29,Monday,Night,60.04,1.0,Neutral
111.37,51.65,Wednesday,Evening,95.99,0.0,Negative
15.29,81.08,Friday,Afternoon,13.03,1.0,Negative
52.13,34.27,Tuesday,Night,34.13,3.0,Neutral
40.75,24.0,Thursday,Morning,,0.0,Negative
92.47,86.95,Monday,Morning,50.76,2.0,Neutral
13.91,56.92,Saturday,Evening,74.34,1.0,Positive
31.98,77.02,Thursday,Evening,97.68,3.0,Neutral
42.09,96.32,Friday,Night,85.4,0.0,Positive
43.94,61.55,Wednesday,Evening,76.81,3.0,Negative
57.93,36.68,Saturday,Afternoon,56.93,0.0,Positive
117.66,51.38,Friday,Morning,57.78,1.0,Negative
107.0,64.55,Sunday,Morning,17.81,3.0,Positive
96.15,25.79,Tuesday,Night,70.31,0.0,Positive
44.36,45.79,Sunday,Morning,59.72,1.0,Negative
118.64,21.91,Friday,Night,99.79,2.0,Negative
28.24,98.76,Thursday,Night,49.96,1.0,Negative
71.26,71.17,Sunday,Evening,97.78,2.0,Positive
118.9,91.08,Tuesday,Night,75.99,1.0,Neutral
96.86,37.64,Sunday,Afternoon,23.26,0.0,Negative
17.4,52.55,Sunday,Morning,4.53,1.0,Negative
30.56,93.25,Saturday,Afternoon,93.06,1.0,Positive
90.15,32.3,Tuesday,Afternoon,88.44,0.0,Negative
93.61,30.18,Thursday,Morning,38.45,0.0,Positive
38.82,48.56,Monday,Afternoon,,0.0,Negative
61.41,41.46,Thursday,Morning,65.71,2.0,Positive
87.16,25.75,Saturday,Evening,32.75,2.0,Negative
49.81,97.19,Sunday,Night,56.37,0.0,Neutral
93.05,60.44,Monday,Night,26.7,1.0,Negative
77.06,78.06,Saturday,Evening,40.39,0.0,Neutral
,34.27,Wednesday,Night,,0.0,Neutral
,73.68,Wednesday,Afternoon,62.17,0.0,Neutral
119.55,32.37,Tuesday,Evening,80.37,0.0,Negative
104.94,30.69,Thursday,Night,71.24,0.0,Negative
108.51,24.54,Wednesday,Afternoon,,3.0,Neutral
118.87,99.8,Wednesday,Evening,,1.0,Negative
31.07,81.25,Tuesday,Afternoon,60.62,1.0,Negative
114.02,87.63,Saturday,Evening,46.94,1.0,Neutral
118.02,97.93,Friday,Morning,29.23,2.0,Positive
12.97,48.34,Wednesday,Afternoon,,1.0,Negative
59.76,30.39,Thursday,Night,30.76,2.0,Negative
14.98,37.23,Friday,Morning,26.0,0.0,Positive
95.16,56.93,Tuesday,Morning,76.95,1.0,Negative
16.04,95.04,Monday,Evening,97.17,3.0,Positive
39.15,48.48,Friday,Evening,16.91,0.0,Negative
7.72,69.13,Friday,Afternoon,63.05,3.0,Neutral
107.92,79.2,Friday,Evening,78.93,3.0,Negative
56.38,85.57,Monday,Morning,30.8,0.0,Positive
82.2,69.57,Wednesday,Night,34.63,3.0,Neutral
114.43,47.58,Thursday,Night,20.26,1.0,Negative
108.82,43.11,Tuesday,Night,81.53,1.0,Negative
54.58,73.83,Saturday,Afternoon,72.78,2.0,Negative
109.27,35.88,Sunday,Evening,56.99,1.0,Neutral
6.33,51.3,Monday,Afternoon,95.05,0.0,Positive
78.02,71.79,Friday,Evening,70.91,1.0,Positive
23.52,23.45,Thursday,Morning,,1.0,Positive
,49.43,Tuesday,Night,,0.0,Positive
71.18,62.11,Saturday,Afternoon,71.14,3.0,Negative
33.52,78.14,Sunday,Morning,,1.0,Negative
51.39,27.13,Tuesday,Night,88.2,3.0,Negative
,94.67,Wednesday,Night,30.67,0.0,Positive
64.55,99.16,Thursday,Morning,83.19,3.0,Negative
11.47,90.8,Tuesday,Morning,29.43,0.0,Negative
,39.67,Monday,Afternoon,,1.0,Negative
,73.03,Thursday,Morning,51.68,0.0,Positive
47.6,39.93,Saturday,Night,39.3,1.0,Neutral
104.3,75.79,Saturday,Night,62.38,3.0,Neutral
,37.12,Friday,Night,8.84,2.0,Negative
55.04,50.2,Friday,Night,16.84,3.0,Neutral
88.76,99.54,Saturday,Night,55.64,1.0,Negative
32.98,39.96,Tuesday,Night,1.31,0.0,Neutral
111.39,35.42,Friday,Afternoon,59.57,1.0,Negative
79.12,87.05,Monday,Morning,,3.0,Positive
97.78,90.89,Thursday,Morning,91.09,0.0,Positive
94.06,91.13,Friday,Night,64.23,2.0,Negative
,27.13,Monday,Evening,,3.0,Neutral
20.78,57.09,Saturday,Morning,67.53,2.0,Neutral
28.87,23.76,Wednesday,Night,89.9,1.0,Negative
116.16,90.6,Sunday,Morning,85.1,1.0,Positive
63.23,83.2,Thursday,Morning,,1.0,Positive
89.3,70.32,Thursday,Night,,0.0,Positive
103.21,36.42,Friday,Evening,90.03,1.0,Positive
96.15,70.86,Sunday,Night,76.32,2.0,Positive
77.18,40.32,Monday,Afternoon,19.82,2.0,Neutral
48.66,79.81,Tuesday,Evening,73.62,0.0,Positive
79.04,66.11,Monday,Afternoon,29.65,3.0,Neutral
80.86,87.53,Wednesday,Afternoon,27.35,2.0,Positive
36.83,44.97,Friday,Evening,88.02,1.0,Positive
112.23,93.8,Tuesday,Night,,1.0,Positive
43.65,61.9,Tuesday,Evening,70.72,3.0,Positive
64.97,56.35,Friday,Morning,56.57,1.0,Neutral
12.29,26.52,Tuesday,Night,,3.0,Negative
,42.41,Friday,Night,,2.0,Neutral
55.12,61.9,Friday,Evening,70.41,0.0,Positive
100.69,85.0,Sunday,Night,31.32,0.0,Positive
42.76,42.13,Sunday,Morning,,2.0,Neutral
30.83,25.88,Saturday,Night,70.55,2.0,Negative
95.23,54.35,Saturday,Morning,32.59,1.0,Negative
78.62,99.11,Friday,Evening,95.45,0.0,Negative
110.04,34.66,Monday,Morning,45.13,0.0,Neutral
36.99,26.29,Thursday,Morning,48.98,1.0,Negative
50.8,36.77,Thursday,Night,,1.0,Positive
,60.69,Saturday,Evening,98.43,1.0,Neutral
18.95,97.12,Thursday,Evening,38.07,2.0,Positive
51.98,64.34,Wednesday,Morning,1.06,3.0,Negative
,78.12,Sunday,Afternoon,26.51,3.0,Negative
15.83,27.65,Thursday,Morning,34.26,2.0,Positive
103.11,77.54,Monday,Evening,9.95,3.0,Negative
41.74,84.11,Monday,Evening,,0.0,Positive
40.11,30.34,Tuesday,Evening,30.34,2.0,Negative
103.58,89.44,Tuesday,Evening,5.58,1.0,Positive
,75.93,Friday,Evening,22.79,0.0,Neutral
,79.52,Thursday,Evening,,1.0,Neutral
38.85,92.21,Tuesday,Morning,13.23,1.0,Positive
79.6,96.02,Sunday,Night,85.03,3.0,Positive
86.04,69.13,Thursday,Evening,,3.0,Neutral
30.37,91.21,Friday,Evening,67.54,1.0,Positive
37.85,37.21,Friday,Night,12.5,2.0,Neutral
99.77,28.23,Sunday,Morning,37.78,2.0,Positive
41.86,65.19,Sunday,Afternoon,32.86,3.0,Negative
7.37,21.29,Thursday,Evening,20.41,3.0,Neutral
44.96,98.43,Monday,Afternoon,49.3,0.0,Neutral
92.14,72.29,Sunday,Night,87.14,3.0,Neutral
,58.3,Monday,Afternoon,73.41,3.0,Negative
92.87,38.65,Tuesday,Night,92.92,0.0,Positive
45.63,39.95,Thursday,Afternoon,52.99,3.0,Negative
64.35,65.16,Saturday,Evening,,1.0,Positive
33.19,96.63,Monday,Afternoon,72.79,0.0,Positive
96.46,56.05,Tuesday,Night,67.61,2.0,Neutral
,67.4,Monday,Evening,40.66,2.0,Neutral
36.27,39.37,Monday,Night,47.07,0.0,Neutral
53.66,53.71,Tuesday,Night,46.63,1.0,Neutral
57.34,55.22,Wednesday,Night,37.46,1.0,Negative
54.47,57.42,Monday,Night,55.37,0.0,Negative
,71.73,Friday,Afternoon,4.04,3.0,Negative
52.42,45.69,Monday,Afternoon,,0.0,Neutral
33.04,54.53,Sunday,Night,80.77,0.0,Positive
77.26,76.96,Wednesday,Morning,37.53,2.0,Positive
19.41,33.2,Saturday,Morning,31.11,0.0,Neutral
30.82,91.78,Thursday,Evening,13.63,0.0,Negative
50.09,40.32,Sunday,Night,71.34,0.0,Neutral
33.29,30.25,Friday,Morning,91.03,1.0,Positive
37.37,62.37,Friday,Afternoon,1.95,2.0,Positive
,84.25,Thursday,Evening,79.52,1.0,Neutral
19.46,58.61,Monday,Evening,,3.0,Neutral
30.75,73.23,Monday,Afternoon,43.33,0.0,Positive
29.56,78.32,Thursday,Night,9.02,1.0,Negative
21.85,44.85,Monday,Evening,,3.0,Neutral
102.64,31.97,Wednesday,Afternoon,64.91,1.0,Neutral
86.47,36.42,Wednesday,Morning,61.56,2.0,Positive
102.72,96.77,Saturday,Morning,49.44,0.0,Neutral
24.31,56.51,Wednesday,Afternoon,39.41,3.0,Negative
85.66,34.36,Thursday,Evening,12.51,1.0,Negative
40.5,87.72,Thursday,Morning,84.56,3.0,Positive
23.68,26.53,Monday,Morning,85.86,1.0,Neutral
32.9,75.85,Friday,Night,,3.0,Neutral
70.15,72.37,Monday,Morning,57.47,3.0,Neutral
,78.57,Wednesday,Afternoon,,2.0,Positive
76.06,36.55,Friday,Night,35.88,0.0,Negative
119.09,96.15,Wednesday,Night,,0.0,Neutral
23.4,57.13,Thursday,Morning,,2.0,Neutral
82.28,70.69,Friday,Morning,83.98,1.0,Positive
28.9,38.73,Saturday,Afternoon,19.54,1.0,Neutral
42.72,79.48,Tuesday,Morning,88.14,0.0,Negative
114.98,24.57,Tuesday,Night,12.27,1.0,Neutral
16.52,29.11,Tuesday,Morning,44.69,0.0,Neutral
114.44,91.84,Wednesday,Evening,66.32,2.0,Positive
62.12,42.9,Sunday,Night,54.21,0.0,Negative
51.14,60.49,Friday,Night,5.38,0.0,Neutral
20.87,84.31,Wednesday,Afternoon,66.57,3.0,Positive
66.89,25.74,Sunday,Evening,86.05,2.0,Neutral
38.69,72.27,Monday,Morning,99.01,0.0,Negative
112.85,38.41,Friday,Afternoon,8.85,3.0,Neutral
85.09,56.13,Sunday,Afternoon,,2.0,Negative
55.68,82.76,Sunday,Night,88.36,1.0,Positive
35.77,41.72,Monday,Afternoon,9.08,0.0,Negative
39.9,48.4,Monday,Evening,65.39,0.0,Negative
94.81,80.18,Thursday,Evening,,0.0,Neutral
65.89,63.52,Wednesday,Morning,22.9,3.0,Negative
90.29,67.47,Sunday,Evening,37.02,2.0,Negative
33.11,48.65,Thursday,Evening,98.88,2.0,Neutral
105.56,83.74,Monday,Morning,,1.0,Negative
29.3,79.39,Thursday,Morning,30.39,1.0,Positive
13.98,82.98,Sunday,Morning,,2.0,Negative
23.79,51.34,Tuesday,Evening,23.6,2.0,Negative
46.35,64.56,Monday,Evening,99.35,0.0,Negative
78.35,37.22,Monday,Afternoon,22.84,3.0,Neutral
97.28,71.42,Friday,Night,58.17,2.0,Neutral
30.08,27.56,Sunday,Afternoon,82.5,0.0,Negative
10.38,60.17,Monday,Morning,,1.0,Neutral
33.83,56.08,Sunday,Night,29.0,2.0,Positive
25.86,81.18,Thursday,Afternoon,60.17,1.0,Positive
59.54,78.27,Friday,Evening,55.86,1.0,Negative
31.37,90.84,Thursday,Evening,17.23,2.0,Positive
80.93,51.68,Sunday,Morning,,1.0,Positive
,48.83,Wednesday,Evening,99.55,1.0,Neutral
31.42,53.24,Saturday,Morning,70.35,0.0,Neutral
15.0,42.91,Saturday,Evening,,2.0,Neutral
93.07,69.41,Sunday,Morning,97.86,2.0,Negative
77.6,23.79,Tuesday,Evening,80.44,2.0,Negative
62.38,38.85,Tuesday,Night,34.07,1.0,Negative
47.19,67.37,Wednesday,Afternoon,,3.0,Neutral
49.99,31.52,Friday,Afternoon,32.28,2.0,Neutral
52.41,57.84,Wednesday,Night,97.83,3.0,Positive
94.86,80.18,Tuesday,Night,59.76,2.0,Negative
50.55,86.63,Sunday,Morning,15.34,3.0,Neutral
21.58,76.72,Wednesday,Afternoon,22.8,2.0,Positive
28.22,51.75,Thursday,Night,68.81,0.0,Neutral
103.39,36.72,Tuesday,Night,41.39,0.0,Neutral
118.83,31.8,Wednesday,Morning,61.57,3.0,Negative
92.53,89.61,Monday,Evening,6.7,0.0,Neutral
,53.44,Friday,Morning,13.85,3.0,Negative
116.16,66.66,Wednesday,Morning,5.09,1.0,Positive
15.13,57.89,Tuesday,Afternoon,,2.0,Neutral
84.5,89.19,Thursday,Evening,38.46,0.0,Positive
69.59,49.47,Wednesday,Evening,48.73,1.0,Negative
27.97,84.9,Tuesday,Evening,,0.0,Neutral
,41.41,Wednesday,Evening,,1.0,Positive
,91.95,Tuesday,Morning,,3.0,Negative
44.08,59.9,Sunday,Night,92.08,1.0,Positive
99.69,63.39,Monday,Night,97.22,1.0,Positive
49.17,29.23,Friday,Morning,50.45,1.0,Positive
9.13,29.97,Monday,Evening,4.42,1.0,Negative
39.85,48.38,Tuesday,Evening,38.99,0.0,Positive
48.33,22.26,Wednesday,Morning,,3.0,Negative
67.73,61.76,Monday,Morning,16.42,1.0,Negative
8.26,34.45,Tuesday,Morning,78.06,2.0,Negative
91.79,27.49,Monday,Afternoon,18.69,1.0,Negative
97.67826834,69.9,Tuesday,Afternoon,30.62,0.0,Positive
52.96,57.12,Tuesday,Afternoon,,3.0,Positive
27.83,22.44,Sunday,Evening,,3.0,Positive
61.65,24.29,Monday,Night,10.39,0.0,Positive
118.19,64.27,Friday,Morning,3.73,2.0,Negative
50.67,95.84,Monday,Evening,26.83,0.0,Neutral
57.31,59.07,Tuesday,Morning,91.28,0.0,Neutral
88.26,68.38,Monday,Afternoon,,1.0,Positive
30.2,50.96,Friday,Morning,68.34,0.0,Negative
55.95,65.96,Saturday,Night,93.19,1.0,Positive
58.97,60.32,Friday,Evening,,1.0,Neutral
97.91,85.64,Tuesday,Night,,0.0,Negative
118.39,90.24,Thursday,Afternoon,,1.0,Neutral
32.4,72.13,Saturday,Afternoon,13.21,0.0,Neutral
71.18,42.11,Thursday,Evening,84.36,3.0,Positive
14.64,38.17,Sunday,Afternoon,69.31,1.0,Neutral
41.58,82.18,Sunday,Afternoon,88.71,1.0,Positive
81.99,39.2,Friday,Evening,85.41,1.0,Neutral
49.46,44.69,Monday,Evening,32.51,2.0,Neutral
98.18,40.14,Thursday,Night,,0.0,Positive
107.16,87.32,Monday,Evening,12.7,0.0,Positive
87.55,45.56,Monday,Night,87.32,3.0,Positive
32.59,88.29,Sunday,Morning,82.67,0.0,Neutral
,59.21,Wednesday,Afternoon,8.18,1.0,Negative
15.62,37.72,Tuesday,Evening,32.01,2.0,Positive
44.34,67.82,Tuesday,Night,26.64,2.0,Positive
82.37,22.26,Saturday,Night,19.08,1.0,Positive
42.14,79.54,Sunday,Night,23.5,2.0,Neutral
88.26,30.6,Sunday,Morning,82.26,3.0,Positive
,59.4,Monday,Evening,76.15,0.0,Neutral
42.24,62.32,Friday,Morning,79.5,0.0,Neutral
70.73,70.65,Thursday,Evening,82.13,3.0,Negative
73.51,28.1,Monday,Afternoon,57.39,1.0,Negative
39.72,98.96,Sunday,Evening,54.21,3.0,Negative
26.81,94.97,Tuesday,Morning,70.25,0.0,Neutral
57.23,54.03,Tuesday,Afternoon,7.45,1.0,Negative
43.71,61.36,Thursday,Morning,13.02,0.0,Negative
40.3,75.34,Saturday,Morning,7.05,1.0,Positive
52.16,65.84,Friday,Afternoon,39.44,1.0,Positive
90.0,49.43,Sunday,Evening,58.88,3.0,Positive
,84.81,Wednesday,Morning,42.69,2.0,Neutral
45.9,25.06,Saturday,Morning,7.54,1.0,Neutral
31.09,63.12,Monday,Morning,86.93,3.0,Negative
111.74,87.15,Sunday,Morning,43.41,2.0,Negative
28.98,20.54,Thursday,Afternoon,69.94,2.0,Neutral
96.84,70.38,Tuesday,Evening,33.5,2.0,Neutral
14.94,22.02,Friday,Night,,0.0,Neutral
7.77,69.79,Friday,Afternoon,38.56,0.0,Positive
116.06,26.41,Thursday,Afternoon,87.13,1.0,Negative
117.36,73.97,Wednesday,Night,52.34,0.0,Neutral
68.74,55.44,Sunday,Night,,1.0,Neutral
65.07,82.86,Sunday,Afternoon,95.07,0.0,Negative
81.16,78.7,Monday,Morning,90.73,1.0,Neutral
113.73,91.81,Saturday,Morning,29.47,1.0,Neutral
106.78,87.46,Saturday,Afternoon,45.61,2.0,Neutral
33.35,38.09,Sunday,Night,,1.0,Positive
95.77,27.11,Sunday,Evening,92.63,2.0,Neutral
40.29,28.57,Sunday,Morning,,3.0,Neutral
38.36,46.51,Wednesday,Morning,,0.0,Negative
102.16,97.9,Monday,Afternoon,,0.0,Negative
,30.45,Monday,Morning,96.06,1.0,Neutral
17.4,97.67,Tuesday,Evening,88.97,3.0,Positive
62.51,62.71,Monday,Morning,19.2,0.0,Positive
,74.03,Monday,Night,35.54,0.0,Neutral
90.11,53.6,Thursday,Afternoon,84.02,0.0,Positive
,29.52,Friday,Morning,,3.0,Neutral
55.1,77.12,Sunday,Night,62.29,1.0,Neutral
78.33,75.65,Tuesday,Morning,,3.0,Neutral
116.26,57.25,Sunday,Morning,66.42,0.0,Neutral
,70.94,Saturday,Afternoon,12.31,0.0,Neutral
111.94,56.06,Saturday,Night,29.73,3.0,Positive
96.87,34.65,Monday,Night,29.52,1.0,Negative
30.66,40.29,Thursday,Night,,0.0,Positive
,78.98,Sunday,Night,,1.0,Negative
55.67,94.47,Saturday,Night,49.1,0.0,Negative
